Name,id,Country,top_pit_prov,top_pit,pit_300k_state,pit_300k_fed,pit_300k,GDP,Exports,Imports,Exp_US_CDN_Trade_2022,Imp_US_CDN_Trade_2022,gdp_2017,gdp_2018,gdp_2019,gdp_2022,gdp_2023,gdp_2024,pop_2017,pop_2018,pop_2019,pop_2020,pop_2022,pop_2023,pop_2024,pop_2025,cadusd_2022,cadusd_2017,cadusd_2018,ppp_2016,ppp_2018,ppp_2019,ppp_2022,ppp_2023,ppp_2024,medianHH_2016,fed_rev_2017,fed_rev_2019,fed_exp_2017,fed_exp_2018,fed_exp_2019,fed_rev_2023,fed_exp_2023,fed_rev_2024,fed_exp_2024,int_trade_share_2019,covid_cases,gdp_growth_2020
Idaho,US-ID,USA,0.058,0.428,0.058,0.35,0.408,67275,939.364619,998.811862,1821.10903,2063.048554,73286.5,79090.8,83665.5,110871,120588.1,129018.2,1719745,1752074,1789060,1826913,1939033,1970497,2000872,2029733,1,1,1,1,1,1,1,1,1,48728,11565,11343.181,17451,,,20251,28513,17919.35,21427.59521,,12.38571429,-1.1
Illinois,US-IL,USA,0.0495,0.4195,0.0495,0.35,0.3995,791608,15947.84366,25316.86939,91272.15385,25360.07531,823776.2,863039.5,885583,1025667,1100794.1,1148106.1,12779893,12724685,12667017,12587530,12582032,12633389,12703033,12719141,1,1,1,1,1,1,1,1,1,60094,136409,162274.617,131755,,,169960,180297,222034.635,127758.5267,,21.35714286,-4
Indiana,US-IN,USA,0.0305,0.4005,0.0305,0.35,0.3805,341909,11511.89891,7277.434245,14570.32657,18398.82559,350436.3,368424.5,379684.1,470324,496849.5,519516.5,6662068,6698481,6731010,6754953,6833037,6881373,6934754,6973333,1,1,1,1,1,1,1,1,1,50896,52053,60627.045,67780,,,69367,99743,83926.517,191876.6403,,14.51428571,-3.1
Iowa,US-IA,USA,0.057,0.427,0.057,0.35,0.407,178766,3368.834478,2449.392582,6163.963253,6117.034666,182151.3,190147,194658.1,238342,253166.5,265794.5,3143734,3149900,3159596,3163561,3200517,3214739,3230454,3238387,1,1,1,1,1,1,1,1,1,55172,26443,24914.602,29919,,,34238,45440,35596.231,32337.24811,,12.44285714,-2.3
Kansas,US-KS,USA,0.057,0.427,0.057,0.35,0.407,153258,1787.703284,1629.352306,2150.999124,3167.951087,163968.3,171718.8,176493.1,209326,224851.3,230522.1,2910892,2912748,2912635,2913805,2937150,2949749,2965252,2977220,1,1,1,1,1,1,1,1,1,54520,25521,26337.911,31297,,,32081,43592,31359.032,27819.43279,,6.271428571,-3
Kentucky,US-KY,USA,0,0.37,0,0.35,0.35,197043,7477.806554,3469.515294,6376.256292,10111.43742,200345.5,207849.4,215398.9,258981,283267.7,295375.3,4455590,4464273,4472345,4477251,4512310,4549953,4584046,4606864,1,1,1,1,1,1,1,1,1,45541,30075,35595.05,70808,,,38367,87574,50185.72,163002.0193,,11.94285714,-3.7
Louisiana,US-LA,USA,0.0425,0.4125,0.0425,0.35,0.3925,235109,2682.282128,1481.075021,4691.191711,5500.526813,235712.2,253236.1,256918.5,291952,318044.3,329172.8,4673673,4664450,4658285,4645318,4590241,4598777,4614878,4618189,1,1,1,1,1,1,1,1,1,46106,34281,39430.322,52011,,,40110,80411,41884.661,56324.64004,,9.757142857,-5.5
Maine,US-ME,USA,0.0715,0.4415,0.0715,0.35,0.4215,59275,1365.863677,1707.713617,7471.340763,2216.486559,61671.5,64557,67717.1,85801,93743.8,99174.1,1335743,1340123,1345770,1350141,1385340,1401992,1408438,1414874,1,1,1,1,1,1,1,1,1,52111,9995,8130.883,17438,,,14507,27305,12168.858,21038.12214,,23.64285714,-4.1
Maryland,US-MD,USA,0.0575,0.4275,0.0575,0.35,0.4075,378280,1457.972863,1860.251496,4310.720808,1266.821528,399737.6,411619.1,426747.4,480113,515035.9,546028.4,6028186,6042153,6054954,6055802,6164660,6204927,6245314,6265347,1,1,1,1,1,1,1,1,1,76596,68531,78473.276,105055,,,87702,168752,107444.691,114662.4794,,15.84285714,-2.6
Massachusetts,US-MA,USA,0.09,0.46,0.05,0.35,0.4,507913,3107.229882,7231.09111,17197.96759,3861.160942,539973.4,570464.2,596593.1,691461,737867.4,778523.4,6863560,6885720,6894883,6893574,6981974,7073479,7138560,7154084,1,1,1,1,1,1,1,1,1,71146,94805,120035.203,78730,,,126348,119514,156520.223,102055.7319,,17.32857143,-3.8
